icd9_code,label_index,code_kind,name,short_name,type,description,orpha_code,orpha_name,icd10_map,mapping_method,is_rare_disease
45.92,329,procedure,Anastomosis of small intestine to rectal stump,Sm bowel-rect stump anas,ICD-9-CM procedure,Anastomosis of small intestine to rectal stump,none,none,0D1A0ZP;0D1A4ZP;0D1A8ZP;0D1B0ZP;0D1B4ZP;0D1B8ZP;0D1H8ZP,none,no
750.4,330,diagnosis,Other specified anomalies of esophagus,Esophageal anomaly NEC,ICD-9-CM diagnosis,Other specified anomalies of esophagus,none,none,Q39.5;Q39.6;Q39.8,none,no
425.3,331,diagnosis,Endocardial fibroelastosis,Endocard fibroelastosis,Disease,A rare cardiac disease characterized by thickening of the endocardium due to deposition of collagen and elastic fibers and leading to dilated cardiomyopathy-like phenotypes more often than to restrictive forms. It predominantly occurs in infants and children and may be observed as an isolated disorder or in association with congenital heart conditions.,ORPHA:2022,Endocardial fibroelastosis,I42.4,name-exact,yes
359.1,332,diagnosis,Hereditary progressive muscular dystrophy,Hered prog musc dystrphy,Category,Hereditary progressive muscular dystrophy,ORPHA:206644,Progressive muscular dystrophy,G71.0,name-exact,group
746.2,333,diagnosis,Ebstein's anomaly,Ebstein's anomaly,ICD-9-CM diagnosis,Ebstein's anomaly,none,none,Q22.5,none,no
755.64,334,diagnosis,Congenital deformity of knee (joint),Cong knee deformity,ICD-9-CM diagnosis,Congenital deformity of knee (joint),none,none,Q68.2;Q74.1,none,no
746.84,335,diagnosis,"Obstructive anomalies of heart, not elsewhere classified",Obstruct heart anom NEC,ICD-9-CM diagnosis,"Obstructive anomalies of heart, not elsewhere classified",none,none,Q24.8,none,no
714.9,336,diagnosis,Unspecified inflammatory polyarthropathy,Inflamm polyarthrop NOS,ICD-9-CM diagnosis,Unspecified inflammatory polyarthropathy,none,none,M06.4,none,no
757.32,337,diagnosis,Vascular hamartomas,Vascular hamartomas,ICD-9-CM diagnosis,Vascular hamartomas,none,none,Q82.5,none,no
519.8,338,diagnosis,"Other diseases of respiratory system, not elsewhere classified",Resp system disease NEC,ICD-9-CM diagnosis,"Other diseases of respiratory system, not elsewhere classified",none,none,J98.8,none,no
277.30,339,diagnosis,"Amyloidosis, unspecified",Amyloidosis NOS,ICD-9-CM diagnosis,"Amyloidosis, unspecified",none,none,E85.9,none,no
